iso,Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
ETH,Ethiopia,MtCO2e,93.22,93.34,94.23,88.61,89.81,90.64,93.44,97.44,103.17,104.00,100.30,107.54,115.70,114.14,116.43,120.00,124.97,135.29,138.98,142.88,147.88,148.12,153.79,158.13,164.22,167.63,173.97,176.59,179.64,191.35,197.58,192.07
UZB,Uzbekistan,MtCO2e,161.57,162.40,152.39,154.93,151.37,140.59,141.83,145.80,162.44,162.52,169.79,161.69,168.04,160.08,163.63,158.28,168.94,164.15,173.36,160.49,172.11,183.66,168.65,167.43,159.90,154.93,163.64,168.93,174.75,181.04,177.76,189.03
TKM,Turkmenistan,MtCO2e,145.22,136.65,94.69,104.31,85.96,86.79,83.80,69.58,71.39,89.73,112.73,114.77,122.36,138.17,146.08,150.33,151.01,163.60,170.69,130.61,145.52,174.92,183.20,190.95,187.96,193.81,189.05,186.85,189.51,206.71,184.37,188.53
PER,Peru,MtCO2e,104.55,103.41,104.08,105.17,107.53,112.44,116.13,117.07,117.91,122.10,122.69,125.79,127.73,127.69,131.65,133.36,132.66,136.66,141.49,145.58,150.19,178.18,178.06,180.07,184.05,185.66,189.08,186.60,186.94,190.15,179.63,185.94
NLD,Netherlands,MtCO2e,213.78,218.74,218.13,222.48,222.65,225.49,236.29,228.18,228.37,216.25,214.23,215.00,214.66,214.53,216.21,210.54,205.84,205.23,202.53,197.53,208.16,195.27,193.54,192.33,184.89,193.61,194.34,190.30,184.49,178.84,162.07,166.28
TZA,Tanzania,MtCO2e,98.20,98.47,98.57,99.18,99.92,104.11,96.49,96.14,100.35,100.47,97.90,103.29,109.68,118.37,117.39,124.39,118.37,120.48,123.52,125.25,128.96,131.01,135.77,136.48,136.99,144.41,157.01,156.96,156.00,160.65,160.87,165.24
KWT,Kuwait,MtCO2e,40.47,10.76,33.66,48.98,56.88,56.50,56.38,59.07,63.74,66.31,72.28,75.27,76.95,82.55,87.92,97.21,100.96,98.92,105.90,105.77,110.00,115.92,120.58,124.96,124.12,128.49,134.31,133.24,137.65,140.20,139.73,148.22
BOL,Bolivia,MtCO2e,114.41,115.56,116.37,115.07,114.15,112.60,111.92,114.40,114.33,120.04,110.37,90.61,97.35,93.39,108.82,102.74,104.45,110.65,104.08,102.12,128.67,113.18,113.54,113.10,113.25,116.92,127.80,125.92,126.33,139.10,131.45,136.84
SDN,Sudan,MtCO2e,69.64,70.50,74.16,76.11,80.79,81.93,87.30,94.98,101.76,105.89,106.28,94.82,100.00,102.11,105.26,110.28,109.40,114.98,115.19,116.73,114.73,117.13,118.97,119.77,120.65,124.02,126.78,126.54,127.25,127.23,126.78,128.82
CMR,Cameroon,MtCO2e,75.52,84.13,83.75,81.09,134.05,133.78,135.30,136.08,140.03,138.87,140.41,125.96,125.80,128.90,125.87,128.39,125.72,126.31,126.62,126.33,126.76,118.53,118.82,120.61,121.50,123.36,125.17,124.55,125.68,126.58,127.95,126.69
AGO,Angola,MtCO2e,70.19,70.65,71.52,74.32,77.19,80.44,82.21,81.34,90.77,88.38,82.21,108.91,111.00,117.58,121.29,122.40,118.39,123.75,127.92,131.31,136.95,136.84,136.76,138.74,138.97,144.38,140.66,140.92,125.92,135.23,122.22,124.91
QAT,Qatar,MtCO2e,16.42,19.45,18.84,21.57,24.05,24.89,27.58,34.66,36.16,39.65,40.59,40.26,44.19,48.11,51.98,53.65,60.27,68.18,73.71,75.74,86.13,96.96,106.10,108.21,113.08,116.05,118.38,119.75,118.31,122.21,118.61,120.31
TCD,Chad,MtCO2e,24.46,30.88,31.76,32.71,33.72,34.74,38.56,40.23,44.84,46.67,46.76,51.02,55.20,58.81,62.04,65.70,67.28,69.72,69.86,69.96,73.76,85.42,89.69,91.19,93.69,98.31,100.85,102.76,107.29,110.08,115.60,118.84
ZWE,Zimbabwe,MtCO2e,42.64,42.92,43.75,40.20,39.92,39.74,41.71,40.83,42.12,44.46,41.46,43.10,39.84,37.49,37.69,38.35,37.28,37.84,36.02,36.74,39.66,46.31,42.68,42.21,40.35,42.19,115.72,115.43,117.17,116.07,113.33,115.04
MOZ,Mozambique,MtCO2e,85.38,85.67,86.35,87.09,87.36,87.60,71.45,69.18,72.24,71.07,68.88,90.86,87.07,92.36,92.61,96.90,95.89,96.34,99.75,94.67,104.51,95.47,101.26,103.22,103.19,101.05,111.90,110.91,114.75,108.98,106.13,109.24
LBY,Libya,MtCO2e,74.46,78.48,71.44,77.58,90.01,97.40,99.96,93.85,93.99,92.44,96.09,93.03,92.61,100.42,103.72,112.26,114.49,110.90,115.31,113.46,119.60,66.87,117.26,103.32,89.30,80.20,76.72,95.23,103.01,108.04,71.99,108.72
CZE,Czech Republic,MtCO2e,175.65,158.27,153.78,146.91,140.11,138.89,142.91,139.90,132.93,124.42,136.38,138.66,133.10,136.37,136.65,135.14,136.19,138.00,132.56,126.62,127.89,128.57,125.10,119.86,117.16,119.05,118.62,118.68,117.42,112.12,102.95,108.16
BEL,Belgium,MtCO2e,126.91,131.67,129.71,127.51,132.87,133.04,138.36,135.19,137.94,134.10,134.30,135.73,128.40,131.79,129.67,126.94,123.03,118.24,120.96,114.60,122.09,110.98,109.76,110.61,104.50,109.15,110.50,108.32,109.05,108.16,99.96,103.62
OMN,Oman,MtCO2e,21.04,25.21,25.10,26.70,28.77,32.29,33.27,34.66,33.73,36.69,41.02,44.76,46.37,48.24,47.43,47.42,55.52,58.31,57.98,60.97,65.28,72.69,80.99,85.08,88.74,93.13,96.61,95.71,100.62,101.40,96.63,102.97
ECU,Ecuador,MtCO2e,74.24,74.98,77.52,79.18,82.43,84.89,89.01,90.91,89.20,86.36,85.76,82.95,82.51,83.74,88.16,89.88,92.38,91.93,93.66,97.04,100.62,89.38,89.26,92.36,94.07,92.39,100.47,99.08,100.35,100.52,94.39,98.39
PRY,Paraguay,MtCO2e,75.36,72.35,71.64,71.83,71.79,73.75,73.50,74.67,74.80,77.91,73.27,89.74,90.48,91.76,89.37,90.83,90.83,94.77,92.24,94.27,96.69,109.82,111.07,112.60,114.34,114.68,93.55,96.32,94.55,96.85,97.29,97.70
MAR,Morocco,MtCO2e,31.90,33.16,34.26,33.95,37.06,37.76,38.43,40.33,41.24,43.41,44.55,48.47,49.99,49.97,55.51,57.74,59.28,60.02,63.15,62.82,66.22,74.26,76.08,76.56,77.75,79.97,78.24,82.50,83.90,90.48,86.29,92.99
ZMB,Zambia,MtCO2e,62.41,62.78,62.94,62.49,61.77,61.55,48.79,49.28,50.53,48.87,45.42,54.02,56.54,65.20,67.00,68.36,61.02,63.47,67.08,63.31,72.39,87.65,90.92,90.83,90.55,96.25,95.31,96.13,95.03,95.09,91.29,88.47
BLR,Belarus,MtCO2e,128.91,122.28,108.91,96.14,83.02,75.33,76.15,76.67,74.86,72.92,70.37,76.82,76.36,77.30,80.99,81.80,84.98,83.68,87.73,84.79,89.41,95.15,96.76,97.34,96.59,92.12,86.11,87.61,90.50,88.69,86.26,86.35
ISR,Israel,MtCO2e,44.08,45.15,47.95,52.02,55.36,59.21,62.33,65.36,66.72,68.93,73.82,73.68,75.65,76.46,77.55,76.20,80.47,83.61,84.29,83.77,89.22,88.97,95.50,86.99,85.14,87.25,87.16,88.71,85.10,87.63,84.63,85.58
PRK,North Korea,MtCO2e,161.27,153.63,139.10,129.47,118.30,109.42,97.47,93.89,86.87,91.19,94.76,93.31,89.65,91.37,93.91,97.21,99.42,86.53,94.69,93.10,91.34,74.89,73.64,62.77,66.93,57.58,61.09,99.62,92.93,99.85,95.52,83.86
ROU,Romania,MtCO2e,235.07,195.27,174.72,163.68,158.93,164.56,168.04,155.75,139.47,123.41,127.34,128.81,126.16,131.11,128.97,128.38,131.84,129.03,126.85,110.77,107.78,-170.00,-172.37,-181.74,-182.41,-180.22,80.25,83.41,84.58,82.84,76.35,82.15
MNG,Mongolia,MtCO2e,54.26,56.50,54.27,53.07,51.26,52.19,51.63,53.83,53.48,53.60,54.77,51.47,49.70,49.46,49.30,52.06,55.00,57.78,57.98,59.12,56.33,59.13,62.51,65.03,67.58,68.96,71.17,73.98,75.86,79.35,76.32,78.87
KHM,Cambodia,MtCO2e,25.20,24.90,25.43,26.25,25.07,27.71,23.59,24.92,28.44,28.03,26.37,26.34,29.47,31.97,32.98,31.44,35.28,36.32,36.07,37.41,36.42,101.44,98.97,99.41,99.73,101.61,67.96,70.74,71.49,75.15,76.54,76.91
KEN,Kenya,MtCO2e,30.76,29.47,29.45,29.20,29.54,29.82,29.18,28.91,30.13,32.11,31.07,49.71,50.58,51.55,54.10,54.51,54.90,71.46,72.54,73.00,74.41,69.52,68.53,69.46,72.52,74.48,63.95,61.71,62.72,70.37,78.41,74.68
GRC,Greece,MtCO2e,94.27,94.34,96.41,96.78,99.40,103.83,104.91,105.99,110.19,111.09,116.89,117.26,117.54,120.75,120.81,122.84,121.30,125.28,120.80,114.21,107.34,106.75,102.30,94.63,91.55,89.81,88.53,88.13,85.41,79.93,70.16,71.84
NZL,New Zealand,MtCO2e,46.31,45.97,46.80,45.99,47.49,48.79,49.20,51.62,49.94,52.23,52.43,58.21,59.41,61.90,61.33,62.73,62.87,61.67,61.69,58.79,58.93,64.53,67.14,66.66,67.29,66.65,71.39,73.02,72.29,73.39,70.34,70.58
IRL,Ireland,MtCO2e,64.59,65.11,65.27,65.92,67.34,68.12,69.45,70.81,74.10,75.78,78.98,81.54,80.12,80.99,80.17,81.43,82.02,80.49,79.39,74.00,72.75,68.68,70.11,69.25,69.56,71.39,73.76,72.91,70.60,68.56,66.39,68.98
AUT,Austria,MtCO2e,63.33,67.61,61.79,61.72,61.79,64.27,67.99,67.02,66.99,65.17,65.40,77.02,78.52,83.45,84.34,84.39,82.18,79.23,78.98,71.79,77.58,74.86,71.42,72.03,68.27,69.55,69.85,71.77,68.66,69.74,64.20,67.34
SGP,Singapore,MtCO2e,30.86,34.00,36.63,43.09,46.62,47.93,49.32,49.41,48.75,49.97,54.82,54.74,53.98,50.83,52.29,49.57,50.00,51.28,51.58,52.14,55.90,58.94,58.54,59.44,60.61,62.33,62.69,65.77,64.23,64.95,64.25,67.34
SSD,South Sudan,MtCO2e,38.37,39.23,41.62,43.51,45.48,46.26,51.10,56.43,62.06,65.55,67.47,61.68,65.66,68.39,71.02,74.44,73.35,77.47,78.46,80.41,79.70,76.14,60.93,61.06,62.82,62.73,66.34,63.95,70.55,61.67,71.18,67.21
HUN,Hungary,MtCO2e,91.05,86.01,76.12,76.59,76.31,74.62,76.84,75.15,75.07,75.86,72.88,75.78,74.14,76.88,75.71,75.02,74.30,72.13,70.75,64.91,64.87,63.19,59.32,56.96,57.25,60.18,61.49,63.52,63.33,63.15,61.37,62.58
